name,tags,def,alias,source,last_updated
APN Customer Engagements (ACE) — AWS,aws; cosell,AWS's co-sell platform where ISVs and AWS sales teams jointly register; track; and pursue customer opportunities. The AWS equivalent of Microsoft's co-sell program or Google Cloud Partner Network co-sell. Accessible at partnercentral.awspartner.com (https://partnercentral.awspartner.com/).,Related: AWS Partner Network (APN) — AWS; Inbound Referral; Outbound Referral,https://docs.aws.amazon.com/partner-central/latest/builder-guide/index.html,2026-08-03
Agreement-Based Offer (ABO) — AWS,aws; offers,An AWS Marketplace feature that lets sellers create a new offer on top of an existing buyer agreement — used for renewals; upgrades; or amendments without requiring the buyer to start a new subscription from scratch. ABOs are only supported for SaaS Contract and SaaS Contract with Consumption products — AMI; container; SaaS Subscription; and professional services offers do not support amendments. Amended offers become active immediately upon buyer acceptance; no future start date is possible.,Related: Agreement — AWS; Future Dated Agreement — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/private-offers-overview.html,2026-06-02
Agreement — AWS,aws,The formal contract created when a buyer accepts an AWS Marketplace offer. Equivalent to Entitlement in Suger. Identified by an Agreement ID. Agreements can be renewed or amended via ABOs.,Suger equivalent: Entitlement | Related: Agreement-Based Offer (ABO) — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/private-offers-overview.html,2026-05-14
Amazon Machine Image (AMI) — AWS,aws,A pre-configured virtual machine image listed on AWS Marketplace. ISVs package their software as an AMI for buyers to deploy on EC2 instances or; as of August 2026; on Amazon Lightsail for eligible listings (currently Windows Server; SQL Server Express; Ubuntu; cPanel & WHM; and Plesk). Can be priced hourly; with an annual contract; or as BYOL.,Azure equivalent: Azure Virtual Machine Offer — Azure | Related: Bring Your Own License (BYOL); Contract — AWS; Product Code — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/ami-products.html,2026-08-31
Suger Analytics,suger,Suger's built-in analytics platform for tracking marketplace revenue; entitlement status; usage consumption; and co-sell pipeline across all connected marketplaces. Users can build fully customizable dashboards using a reusable chart library; organize data across multiple named datasets (Finance; Offers; Co-sell; Billing); and share dashboards collaboratively across the organization in real time. Analytics supports AI-powered conversational dashboard design — users describe a chart in natural language and Suger generates it automatically — as well as AI-powered automated recommendations and predictive analytics that surface insights and forecast trends without manual configuration.,Related: Revenue; Table Export; Suger Console,https://doc.suger.io/analytics/,2026-06-22
AppSource — Azure,azure,Microsoft's former marketplace storefront for business applications integrating with Microsoft 365; Dynamics 365; and Power Platform. As of September 2025; AppSource has been consolidated into the unified Microsoft Marketplace alongside Azure Marketplace.,Now part of: Microsoft Marketplace — Azure,https://learn.microsoft.com/en-us/marketplace/appsource-overview,2026-07-27
AWS Marketplace — AWS,aws,Amazon's digital catalog where ISVs list and sell software; SaaS; data products; and professional services to AWS customers. Purchases are billed through the customer's AWS account.,Related: AWS Marketplace Management Portal (AMMP) — AWS; AWS Marketplace Catalog API — AWS; AWS Partner Network (APN) — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/what-is-marketplace.html,2026-05-14
AWS Marketplace Catalog API — AWS,aws,The programmatic interface sellers use to manage product listings; offers; and changes in AWS Marketplace without using the seller console. Suger uses this API on sellers' behalf.,Related: AWS Marketplace Management Portal (AMMP) — AWS; Suger Console,https://docs.aws.amazon.com/marketplace/latest/developerguide/about-apis.html,2026-07-13
AWS Marketplace Management Portal (AMMP) — AWS,aws,The web-based portal where AWS Marketplace sellers create and manage listings; private offers; agreements; and reports. Also known as Seller Central for marketplace. Accessible at aws.amazon.com/marketplace/management (https://aws.amazon.com/marketplace/management/).,Azure equivalent: Partner Center — Azure | GCP equivalent: Producer Portal — GCP | Related: AWS Marketplace Catalog API — AWS; Suger Console,https://docs.aws.amazon.com/marketplace/latest/userguide/,2026-08-03
AWS Partner Network (APN) — AWS,aws,Amazon's global partner program for technology and consulting companies. Marketplace sellers are typically APN members; unlocking access to co-sell (ACE); funding; and go-to-market resources.,Azure equivalent: Microsoft AI Cloud Partner Program (MPN) — Azure | GCP equivalent: Google Cloud Partner Network — GCP | Related: APN Customer Engagements (ACE) — AWS; AWS Competency Program — AWS,https://aws.amazon.com/partners/,2026-08-03
Microsoft Marketplace — Azure,azure,Microsoft's unified marketplace platform launched September 25; 2025 — merging Azure Marketplace and AppSource into a single destination. Covers cloud solutions; SaaS; AI apps and agents; industry solutions; and professional services. Features a dedicated AI Apps and Agents category with 3; 000+ solutions. Deeply integrated with Azure AI Foundry; Microsoft 365 Copilot; Teams; and Dynamics 365. Purchases by MACC-eligible customers count toward their Azure commitment.,Formerly: Azure Marketplace; AppSource | Related: Azure Consumption Commitment (MACC) — Azure; MISA (Microsoft Intelligent Security Association) — Azure; Marketplace Rewards — Azure,https://learn.microsoft.com/en-us/partner-center/marketplace-offers/overview,2026-05-14
