id,platform,date,title,summary,type,sourceUrl,impact
"aws-2026-09-03-run-apache-spark-up-to-10x-faster-with-datapelago-","AWS","2026-09-03","Run Apache Spark up to 10x faster with DataPelago on Amazon EKS","A major bottleneck for controlling Apache Spark costs or scaling analytics and AI workloads is Spark's hard dependency on traditional CPU-only infrastructure.","blog","https://aws.amazon.com/blogs/apn/run-apache-spark-up-to-10x-faster-with-datapelago-on-amazon-eks/","low"
"azure-2026-09-03-join-partnering-for-success-together","Azure","2026-09-03","Join Partnering for Success Together","Register for the monthly partner skilling session on September 9 to stay up to date on the latest partner updates and turn them into customer impact.","release","https://learn.microsoft.com/en-us/partner-center/announcements/2026-september#join-partnering-for-success-together","high"
"aws-2026-09-02-private-offer-auto-renewals-scale-predictable-reve","AWS","2026-09-02","Private offer auto-renewals: Scale predictable revenue with AWS Marketplace","In this post; we cover how auto-renewals for AWS Marketplace private offers work; the pricing options; and how to get started. The post is written for sellers; with buyers in mind.","blog","https://aws.amazon.com/blogs/awsmarketplace/private-offer-auto-renewals-scale-predictable-revenue-with-aws-marketplace/","low"
"azure-2026-09-02-new-csp-sandbox-offer-construct-preview","Azure","2026-09-02","New CSP sandbox offer construct preview","Prepare for the shift to consumption-based offers: Validate the flex spend plan in the sandbox environment starting September 1; 2026.","pricing","https://learn.microsoft.com/en-us/partner-center/announcements/2026-september#new-csp-sandbox-offer-construct-preview","high"
"suger-2026-09-02-announcement-suger-selected-to-support-isv-onboard","Suger","2026-09-02","Announcement Suger Selected to Support ISV Onboarding on AWS Through AWS 3PI PDM Pilot Suger has been selected as a laun","Announcement Suger Selected to Support ISV Onboarding on AWS Through AWS 3PI PDM Pilot Suger has been selected as a launch 3rd Party Integrator (3PI) for a new AWS pilot program that scales early-stage partner onboarding and co-sell enablement across the AWS Partner Network.","blog","https://www.suger.io/resources/blog/suger-selected-aws-3pi-pdm-pilot/","high"
"aws-2026-09-01-say-hello-to-158-new-aws-competency-and-msp-partne","AWS","2026-09-01","Say Hello to 158 New AWS Competency and MSP Partners Added in August","We are excited to highlight 158 AWS Partners that received new or renewed specializations in August for our global AWS Competency; AWS Managed Service Provider (MSP); AWS Service Delivery; and AWS Service Ready programs.","blog","https://aws.amazon.com/blogs/apn/say-hello-to-158-new-aws-competency-service-delivery-service-ready-and-msp-partners-added-in-august/","medium"
"aws-2026-09-01-aws-marketplace-reduces-listing-fee-for-profession","AWS","2026-09-01","AWS Marketplace reduces listing fee for professional services in multi-product solutions","AWS Marketplace now offers a 0% listing fee for professional services purchased as part of a qualifying multi-product solution. This builds on the recent reduction of professional services listing fee to 0.5%.","pricing","https://aws.amazon.com/about-aws/whats-new/2026/09/aws-marketplace-fee-professional-services/","low"
"aws-2026-09-01-aws-marketplace-now-supports-auto-renewals-for-pri","AWS","2026-09-01","AWS Marketplace now supports auto-renewals for private offers","AWS Marketplace now supports auto-renewals for private offers. This capability helps sellers and buyers maintain active software and service subscriptions without re-negotiation or re-purchasing at the end of the term.","feature","https://aws.amazon.com/about-aws/whats-new/2026/09/aws-marketplace-auto-renewals-for-private-offers","medium"
"azure-2026-09-01-purchase-order-mapping-in-microsoft-marketplace","Azure","2026-09-01","Purchase order mapping in Microsoft Marketplace","By connecting Microsoft Marketplace purchases to purchase orders; customers can better manage spend while partners unlock more customer opportunities.","pricing","https://learn.microsoft.com/en-us/partner-center/announcements/2026-september#purchase-order-mapping-in-microsoft-marketplace","low"
"aws-2026-08-31-partner-revenue-measurement-expands-service-covera","AWS","2026-08-31","Partner Revenue Measurement expands service coverage for User Agent string capability","Partner Revenue Measurement User Agent string now supports additional AWS services. Partner Revenue Measurement allows Partners to better understand their AWS revenue impact and product consumption patterns.","pricing","https://aws.amazon.com/about-aws/whats-new/2026/08/partner-revenue-measurement-user-agent-expansion/","medium"
"aws-2026-08-31-solution-matching-engine-your-gateway-to-aws-selle","AWS","2026-08-31","Solution Matching Engine: Your Gateway to AWS Sellers","When customers come to AWS with a business challenge; sellers need to identify the right partner and solution—fast. Here are three actions you can take today in AWS Partner Central and AWS Marketplace to make your listings easier to find; understand; and recommend.","blog","https://aws.amazon.com/blogs/apn/solution-matching-engine-your-gateway-to-aws-sellers/","low"
"azure-2026-08-31-fy27-august-skilling-updates","Azure","2026-08-31","FY27 August skilling updates","Two Microsoft certifications retired on August 31 and have new; AI-focused replacements. Review the updated specialization skilling requirements.","policy","https://learn.microsoft.com/en-us/partner-center/announcements/2026-august#fy27-august-skilling-updates","high"
"azure-2026-08-31-showcase-your-frontier-ai-expertise","Azure","2026-08-31","Showcase your Frontier AI expertise","Earn the Frontier Transformation Engineer badge and show that your team is ready to deliver Microsoft Frontier AI solutions.","release","https://learn.microsoft.com/en-us/partner-center/announcements/2026-august#showcase-your-frontier-ai-expertise","low"
"aws-2026-08-27-how-oceanbase-unifies-transactions-analytics-and-a","AWS","2026-08-27","How OceanBase unifies transactions analytics and AI on AWS","Modern data architectures often rely on separate databases for transactions; analytics; and AI; leading to extract; transform; and load (ETL) latency; data inconsistency; and rising costs.","blog","https://aws.amazon.com/blogs/apn/how-oceanbase-unifies-transactions-analytics-and-ai-on-aws/","low"
"azure-2026-08-27-introducing-the-eligibility-dashboard","Azure","2026-08-27","Introducing the Eligibility Dashboard","Eligibility Dashboard: your single location to track Cloud Solution Provider (CSP) direct bill authorization requirements.","pricing","https://learn.microsoft.com/en-us/partner-center/announcements/2026-august#introducing-the-eligibility-dashboard","high"
"suger-2026-08-27-aws-aws-re-invent-2026-a-marketplace-prep-checklis","Suger","2026-08-27","AWS AWS re:Invent 2026: A Marketplace Prep Checklist re:Invent rewards the sellers who did the work beforehand. The mark","AWS AWS re:Invent 2026: A Marketplace Prep Checklist re:Invent rewards the sellers who did the work beforehand. The marketplace; co-sell and offer prep worth finishing before you land in Las Vegas. Aug 27; 2026","blog","https://www.suger.io/resources/blog/aws-reinvent-2026-marketplace-prep/","low"
"suger-2026-08-27-cloud-gtm-getting-your-listing-ready-for-event-tra","Suger","2026-08-27","Cloud GTM Getting Your Listing Ready for Event Traffic A conference sends the highest-intent traffic you get all year to","Cloud GTM Getting Your Listing Ready for Event Traffic A conference sends the highest-intent traffic you get all year to a page you have not read since launch. The audit worth doing before it arrives. Aug 27; 2026","blog","https://www.suger.io/resources/blog/listing-ready-for-event-traffic/","high"
"suger-2026-08-27-cloud-gtm-instrumenting-your-marketplace-motion-fo","Suger","2026-08-27","Cloud GTM Instrumenting Your Marketplace Motion for 2027 Every marketplace target eventually meets the question nobody p","Cloud GTM Instrumenting Your Marketplace Motion for 2027 Every marketplace target eventually meets the question nobody prepared for: where does that number come from? Instrument the answer before January. Aug 27; 2026","blog","https://www.suger.io/resources/blog/instrumenting-your-marketplace-motion-for-2027/","low"
"suger-2026-08-27-cloud-gtm-planning-your-2027-cloud-gtm-strategy-a-","Suger","2026-08-27","Cloud GTM Planning Your 2027 Cloud GTM Strategy: A Framework Most cloud GTM plans are last year's plan with bigger numbe","Cloud GTM Planning Your 2027 Cloud GTM Strategy: A Framework Most cloud GTM plans are last year's plan with bigger numbers on it. A framework for writing one that survives contact with January. Aug 27; 2026","blog","https://www.suger.io/resources/blog/planning-your-2027-cloud-gtm-strategy/","low"
"suger-2026-08-27-aws-aws-managed-entitlements-for-foundation-models","Suger","2026-08-27","AWS AWS Managed Entitlements for Foundation Models A foundation model bought once by the payer account is useless to the","AWS AWS Managed Entitlements for Foundation Models A foundation model bought once by the payer account is useless to the twelve teams that need it. Managed entitlements are how the purchase reaches them. Aug 27; 2026","blog","https://www.suger.io/resources/blog/managed-entitlements-for-foundation-models/","low"
"suger-2026-08-27-aws-turning-re-invent-conversations-into-ace-refer","Suger","2026-08-27","AWS Turning re:Invent Conversations Into ACE Referrals Badge scans are not pipeline. The discipline that turns a hallway","AWS Turning re:Invent Conversations Into ACE Referrals Badge scans are not pipeline. The discipline that turns a hallway conversation at an AWS event into a co-sell referral an AWS seller will actually work. Aug 27; 2026","blog","https://www.suger.io/resources/blog/reinvent-conversations-to-ace-referrals/","low"
"suger-2026-08-27-insulin-a-90-day-enterprise-ai-adoption-plan-that-","Suger","2026-08-27","Insulin: A 90-Day Enterprise AI Adoption Plan That Works","Ninety days is enough to get real work running on AI; and not enough to boil the ocean. A three-phase plan with a gate at the end of each one.","blog","https://www.insulin.dev/blog/90-day-enterprise-ai-adoption-plan/","low"
"suger-2026-08-27-insulin-the-ai-agent-sandbox-test-before-productio","Suger","2026-08-27","Insulin: The AI Agent Sandbox: Test Before Production","Knowing what to test is half the problem. The other half is where — because an agent's first real write should not land in the system your business runs on.","blog","https://www.insulin.dev/blog/ai-agent-sandbox-before-production/","low"
"suger-2026-08-27-insulin-ai-email-and-crm-automation-with-approval","Suger","2026-08-27","Insulin: AI Email and CRM Automation; With Approval","The reply and the CRM update are the same piece of work; done twice. How to automate both as one flow that still waits for a person before anything leaves.","blog","https://www.insulin.dev/blog/ai-email-crm-automation-with-approval/","medium"
"suger-2026-08-27-insulin-ai-model-governance-choosing-by-workflow-r","Suger","2026-08-27","Insulin: AI Model Governance: Choosing by Workflow Risk","Picking one model for the whole company means overpaying for triage and under-thinking the work that matters. Choose per workflow; by what failure costs.","blog","https://www.insulin.dev/blog/ai-model-governance-by-workflow-risk/","low"
"suger-2026-08-27-insulin-ai-training-for-employees-who-work-with-ag","Suger","2026-08-27","Insulin: AI Training for Employees Who Work With Agents","Prompt tips are the least useful thing you can teach. What people actually need is the judgement to delegate work; check it; and know when to stop.","blog","https://www.insulin.dev/blog/ai-training-for-employees/","low"
"suger-2026-08-27-insulin-handling-aws-support-cases-with-an-ai-agen","Suger","2026-08-27","Insulin: Handling AWS Support Cases With an AI Agent","Half of a support case is assembling evidence you already have. That part an agent can do — the filing and the replying still wait for a person.","blog","https://www.insulin.dev/blog/aws-support-cases-ai-agent/","low"
